479538	571327	404384	444542	268755
789943	786410	646889	810303	910801
952878	543992	384050	554078	112994
87130	681458	587862	578402	887048
810867	779672	204638	14003	542209
299015	181264	139179	191998	19010
206665	99917	938232	315946	805422
553761	524827	693101	554339	905495
459232	759124	736483	281749	651446
268700	555715	276280	236219	708532
623836	74245	331012	907094	32647
143122	562503	150882	809901	733284
138109	40275	975055	984305	653110
757793	713644	870296	788146	694508
789254	860625	491236	676450	420450
591393	260762	619888	161644	571469
931949	62565	254222	369213	790061
802543	588326	108712	761265	77272
914630	508094	852437	38394	849101
272844	626250	479062	530183	656914
391906	711905	850064	575491	412961
968488	894083	763923	942689	714755
88644	292388	905751	579939	967097
533736	609861	704085	80058	929032
369261	507740	15592	656340	724486
815082	952773	838529	875594	98709
871296	886908	949788	713149	901214
797422	659769	482731	504287	843116
909919	665208	47292	569750	126802
848823	398111	518571	149756	423476
683897	407334	674534	902646	271753
492183	464866	433718	52102	29666
574310	412243	626917	474720	37729
427690	607453	684339	200236	601161
590018	581088	916065	263890	139818
460568	599058	252476	23337	131133
519867	961129	889212	111073	348250
391783	160742	705753	695724	457244
349044	243569	619613	369037	472830
599376	501399	445837	408928	998250
168565	514202	91374	308579	944095
667828	241317	980163	163355	615273
462122	868319	52789	130105	906921
298607	472420	838506	832601	49796
903975	528461	451207	19905	243023
810789	222065	961050	473271	770954
473098	212442	768338	518846	928727
214669	705634	850128	121040	822990
281133	770216	808541	609174	745714
769129	271787	850372	948372	106863
363730	5219	145890	595540	271038
465563	218058	936386	7422	84551
178470	589643	107873	559919	843502
87372	67883	316398	514705	570469
207237	939860	929823	816095	881808
20033	525798	646221	151412	221333
950181	821583	141188	886445	274050
566175	852811	700155	510070	978344
773867	667794	428577	897914	126531
160446	264419	219037	974020	845115
214773	860507	824745	577025	799676
414564	508812	344054	654626	47853
329490	650203	606687	298928	699272
798017	221093	407253	811487	516912
471189	746080	878359	956052	190717
962735	278481	997	260637	992730
179028	312735	267856	428083	820118
522160	606613	820417	864385	110491
515684	18060	963437	315556	128395
749092	984507	636825	377722	561049
861509	521233	901738	941838	217287
933609	288878	204139	434332	88852
452245	484038	184872	591687	761473
6947	237767	806211	859640	162997
772600	726341	750497	451038	628516
870859	934888	286380	671589	156007
358840	626952	27464	952541	110592
629943	31215	557574	471522	301653
634604	185487	386584	755892	815476
733818	534057	744289	678342	350270
499180	485739	680537	16273	865223
403476	25113	194697	403363	148880
353000	350350	712038	957223	794675
551502	938772	266849	214613	403093
722224	236801	920775	951865	30816
472332	589227	926974	344627	432261
691178	924182	891054	19008	504363
156366	116238	817396	201428	414470
498721	95118	418879	291435	21010
484779	795009	154690	848631	756519
629901	654018	892289	403333	311281
567224	940897	250183	224333	743858
291699	361942	34042	39590	844372
578886	521917	501460	817788	459647
753339	778418	318735	140455	933167
578536	981992	265437	694741	897316
385284	105180	507075	506154	420254
809216	483769	631714	569982	50267
146312	341493	96196	94331	795097
820611	597272	728023	499371	245299
878499	260587	39742	40783	497682
913017	326401	397993	834145	458326
825396	198644	537048	838185	814224
505956	330640	889976	923072	142880
697202	920428	310449	128029	356758
343937	432640	234439	426112	571287
671235	737106	173014	804640	600030
128009	267795	430974	746519	455870
757459	337752	663776	810680	81279
12604	316951	917878	486356	444033
749882	966444	463901	231891	297543
130554	566807	729943	693110	438303
333386	676284	867335	264185	829001
792519	116875	411718	801802	261689
766174	404348	977024	162918	919
591336	76008	859374	828579	558013
562062	279663	428083	903328	435281
116611	729623	53529	39561	911366
914045	361578	390951	131963	909498
428665	296423	751399	554178	842278
831525	103561	139273	662156	424432
752104	276412	126133	832968	431833
632109	141302	853401	962627	613463
751650	957641	464314	371336	937736
746783	618954	607965	886065	158441
461214	767975	999386	616582	177377
721607	258289	71577	473246	443891
926092	301104	87838	711884	221975
728633	28655	147248	107153	963924
892350	450273	324327	663807	128523
608660	150684	330000	485436	72874
862555	753766	679980	261895	450207
958956	803541	651182	886186	280086
212846	843862	502419	98980	520387
895164	239903	545198	148354	616222
381616	270543	91471	363121	299050
109974	316683	392484	855783	388913
68595	535935	719	867441	294866
812695	284093	239947	198976	799223
217288	748148	741688	649431	961943
599578	722571	778253	111396	936367
445380	569328	819750	592538	257985
953814	569243	810632	730449	382525
271264	93991	38502	715911	793191
247915	550669	745105	478180	814842
294694	804410	486331	247900	437038
550437	913647	204130	346240	524722
591506	278887	500083	865776	423256
105465	89590	895276	670181	304879
786688	150778	651282	68898	942069
741768	792113	755792	281790	860683
572922	79647	623223	312529	917356
768080	17175	238896	861166	453002
878730	283857	551365	413451	777660
64032	857083	723587	198558	569597
613314	704611	467049	767009	501272
883870	86090	366447	104507	568729
937146	513350	477987	737287	648721
339153	596585	998174	818459	478379
682165	749479	617092	682117	387249
296282	561421	662704	539933	957811
747906	315462	785790	398905	428936
195452	98732	452220	349978	858849
813014	821599	235194	365219	995274
163259	602015	787033	35980	13773
888454	681717	633316	549850	586718
456375	368975	136731	416272	491628
770678	895909	661915	924975	46166
588646	960155	211648	97371	650612
749422	71977	657234	258626	251515
901952	194079	800174	48722	609912
933670	20828	367670	990789	814629
42511	526824	200512	766894	269703
157571	583669	908363	203981	617352
225091	744615	419426	740255	724227
473257	289461	168358	785346	18918
246240	549381	167120	42776	231144
581987	832852	405638	188668	976267
957670	373285	221001	67753	503938
76612	186916	182357	385451	632692
823203	503103	357062	496697	753682
533527	378619	955853	935824	550992
942242	861695	457422	679983	807948
553615	456833	514583	346303	571540
582709	221730	935445	393526	673532
328395	216227	789016	327684	365553
963751	264363	580661	603557	588786
561870	535439	157574	915798	162940
355551	374312	343167	582902	711415
70566	299932	270954	681424	656852
945469	213673	851162	68033	6299
584023	259553	136062	54373	657148
110778	598506	197967	291384	719232
162897	98541	178664	892397	128497
161498	339443	741242	161788	53347
378641	940354	821086	843079	19362
360690	201916	82534	483149	236829
228780	788089	894042	505308	153515
145417	49107	445679	632041	30306
846098	382628	317678	893605	928187
330415	336051	24285	154140	675973
978136	739292	988327	234414	857326
422394	358884	603912	350171	789994
206193	130951	543730	667965	573137
121704	922596	857762	701466	378056
536581	416266	571536	111231	975022
257015	139508	677793	256085	394646
607531	615723	412024	401046	356484
798144	736368	824130	235756	960537
30991	38787	768937	521863	692715
563144	381002	990804	594065	56962
234270	439831	672064	217761	946053
778544	523285	22405	619397	28040
476225	295535	943433	73271	630879
234375	181309	650161	572488	829498
75402	559283	436523	258635	199402
588007	736034	778353	15046	223962
732120	687772	887461	82386	392170
886028	326467	544847	195977	323010
485612	53769	791377	304819	407215
365880	608559	254932	329232	674071
723385	249003	963045	389984	656510
93685	538891	401091	535767	674907
531556	982906	946877	462434	17439
757049	847996	14885	462831	969062
583344	313559	954914	837900	545912
909318	917647	896148	900806	147555
121051	568243	153276	402482	551286
207320	556911	70791	70777	650291
193296	6260	564005	645284	59315
414231	202337	415283	364676	655302
186804	968907	884606	755599	973156
960229	346466	702739	566027	128038
283836	296307	467162	11308	929980
456004	484702	435906	570677	268380
79247	817465	750542	313375	159131
929699	968727	844028	402239	931063
836209	350565	859617	807604	228990
630312	89295	604787	799140	432070
743849	719619	961998	891956	237559
607311	976832	797015	195984	446079
916550	857957	943282	668859	908208
524040	308585	533081	430776	273767
412683	948812	185778	1506	983247
264248	432825	426950	959589	452587
999423	878197	568308	622814	326463
959723	952207	198229	410080	264980
93684	694128	444810	141642	668549
388276	376555	341053	578486	819634
488579	424015	204603	236845	888641
12029	417981	423019	202316	778008
84807	133630	933520	673194	984261
279373	342013	470146	667775	286511
996393	497188	479636	748661	776813
764303	659545	240650	437282	20522
658065	382921	577293	598451	265366
649148	327776	746444	714549	464834
440488	244883	164006	818592	767592
225755	232545	796361	642337	184668
804744	438722	875599	269829	887486
448218	905637	964404	738752	280007
346080	243326	736933	863306	801098
149027	329620	390561	708331	701617
92596	12656	637071	981315	807173
459394	136409	952815	52411	838032
308885	616795	33452	867991	360139
957986	915622	980350	253131	480353
50033	165626	796081	365019	447434
698037	933767	95338	332460	611317
310271	981657	929595	476817	775048
355208	289460	293474	127826	569541
804929	539226	574765	27721	143096
353761	939900	870857	953912	899167
673358	667610	699671	478865	960407
824446	150148	743316	368512	172745
472648	559286	611448	856121	243402
352782	436853	975046	391353	690263
76092	494163	733446	600066	365236
532312	123223	219629	766017	157374
289828	541294	757005	547406	357156
645846	778078	356367	614573	374906
743967	43898	236401	845358	721897
656406	423955	668378	595372	930635
47288	489049	235160	181022	194219
148614	724423	890639	954204	540226
103574	347310	616914	889510	988521
850180	463746	652366	151572	829655
106137	223154	929977	952068	534424
500436	440876	382171	497337	157214
874611	860642	353095	370713	945443
562140	934686	235332	483353	219177
997416	666481	510818	515345	987714
646489	705651	59787	450051	183267
488573	752915	478741	59464	166092
259213	949477	67725	715488	191160
789516	937661	850788	913934	758920
114596	90378	145600	819680	147533
893031	365256	148657	917828	873127
153265	493819	919930	840821	474338
785243	123461	579018	365450	305757
719555	786242	62175	344394	36079
698751	517552	955612	574401	237269
52242	562206	178290	716053	709541
199834	977725	866555	642060	48301
614823	342144	262321	147366	191533
987066	970566	38951	680364	982140
672656	401839	371524	399493	902325
370987	265741	418511	261933	810806
649730	918823	156830	142930	452117
349904	467601	231496	997363	814519
628701	844820	440320	289569	32329
332455	20249	637198	164631	542608
114772	108324	399881	37590	95720
715172	147502	810582	446818	831042
394057	40060	837352	614593	491086
995550	667098	281178	626125	348556
652472	447229	59833	131802	989391
985765	562218	898425	975315	376553
803870	680124	474095	365123	435111
816765	907518	294752	172834	237792
919457	754593	717181	700314	658987
803792	630461	184666	892211	896041
298362	839935	247710	504404	835447
152762	141016	185618	895522	365249
258958	967307	468700	921208	517927
764389	259688	162649	891375	299565
19706	654322	942256	877436	912305
115631	266120	403571	866185	550398
482541	407735	842444	940876	979634
981684	907024	21970	325915	994369
656383	520513	543893	229522	118270
248203	203427	730151	856281	37096
39888	293696	879124	407592	507523
761625	967202	564719	976910	930969
63360	850121	656001	105982	267780
579236	907030	774990	997872	722546
828658	423699	681556	784949	682232
208404	857345	48637	232082	113348
216119	785719	965937	595466	727209
318334	559139	836894	249642	744856
71983	254792	886622	409165	121791
655966	194655	240845	265413	44382
